current_action,predicted_action,Llama-3.2_model_reply
open stockchicken,get glass,I'll wash the chicken.
open vinegar,put-in vinegar,I'll wash the vinegar.
stir potato,put-down spatula,Wash potatoes.
soap-up glass,put-down glass,Wash the glass.
mop-up wheyspilt,put-on toweltea,I'll wash the dishes.
open bagonion,pick-up onion,I'll wash the bacon.
put-down saucespicybean,pick-up broccoli,wash the sauce
get meat,place-on meat,fetch meat
cut peach,end_of_video,I'll wash the peach.
slice onion,put-down kettle,Wash onion.
push onion,pick-up spatula,I'll wash the onion.
put-down tupperware,move tupperware,I'll wash the Tupperware.
open cabinet,close cabinet,open cabinet
scrape-off carrot,chop carrot,I'm washing the carrot.
put-inside biscuit,pick-up biscuit,fetch biscuit
pour pasta,pick-up pasta,fetch pasta
pick-up oil,pour oil,fetch oil.
clean topcounter,pick-up cloth,I'm cleaning the topcounter.
squeeze-onto soap,pick-up ramekin,fetch soap.
put-down saucepan,pick-up glass,fetch saucepan
press button,move sachet,I'll wash the utensils.
open coverfoodprocessor,put-down cover,Cover food processor.
close tupperware,lift-up tupperware,I'm going to wash the Tupperware.
pick-up capburner,wash capburner,I'll wash the capburner.
cut-from ginger,pick-up trimming,I'll wash the ginger.
put-in garlic,cut rubbish,wash the garlic.
pick-up teaspoon,pick-up ramekin,fetch
put-down mug,pick-up jugmeasuring,fetch water.
wash scissors,end_of_video,wash the scissors.
move boardchopping,wipe surface,fetch ingredients.
put-down brushpastry,pick-up chopstick,I'll wash the pastry brush.
take box,put box,fetch box.
squeeze orange,press button,I'll wash the orange.
rinse hand,dry hand,wash
wipe surface,rinse hand,I'm washing the surface.
stack box,put box,I'll wash the box.
put-down leafpakchoi,cut choipak,I'll wash the leafpakchoi.
pick-up holderspoon,lather boardchopping,I'm washing the spoon.
move glass,pick-up peellemon,fetch glass
move tray,put-down tray,fetch tray.
chop onion,put-in onionsliced,Wash the onion.
put powderturmeric,take powderturmeric,I'll wash the powderturmeric.
take ladle,spoon stock,I'll wash the ladle.
take mushroom,chop mushroom,I'll wash the mushrooms.
put-down glass,move cloth,I'll wash the glass.
throw-into tupperware,open binfood,I'll wash the utensils.
put-in skin,inspect meat,fetch
put-down bag,open dressingsalad,fetch bag.
put-down onion,pick-up onion,I'll wash the onion.
switch cabinet,open cabinet,fetch ingredients
pick-up paper,tear paper,fetch paper
wipe-off salad,throw bitsalad,Wipe salad clean.
wash leaf,get leafsalad,I'll wash the leaf.
pick-up tupperware,rinse tupperware,fetch tupperware
get glass,put glass,fetch glass
put-in vinegar,close vinegar,fetch vinegar
put-down spatula,pick-up spatula,I'm washing the spatula.
put-down glass,empty glass,I'll wash the glass.
put-on toweltea,pull doormicrowave,I'll wash the towel.
pick-up onion,put-on onion,wash onion
pick-up broccoli,open packetbroccoli,I'll wash the broccoli.
place-on meat,get meat,fetch meat
put-down kettle,slice onion,fetch water.
pick-up spatula,chop onion,fetch
move tupperware,take tupperware,fetch tupperware
close cabinet,open machinecoffee,I'm going to fetch the ingredients.
chop carrot,slice bottomcarrot,I'll wash the carrot.
pick-up biscuit,pick-up bladefoodprocessorchopping,fetch biscuit
pick-up pasta,pour pasta,fetch pasta
pour oil,pick-up oil,fetch oil.
pick-up cloth,put-down cloth,fetch cloth
pick-up ramekin,pick-up toweltea,fetch ramekin
pick-up glass,put-down glass,I'm washing the glass.
move sachet,pick-up sugar,fetch sachet
put-down cover,press garlic,I'll wash the utensils.
lift-up tupperware,put-down tupperware,I'm going to wash the tupperware.
wash capburner,put-down capburner,fetch capburner
pick-up trimming,halve ginger,I'll wash the vegetables.
cut rubbish,rubbish-in binrecycling,I'll wash the cut rubbish.
pick-up ramekin,read instruction,fetch ramekin
pick-up jugmeasuring,pick-up ramekinpeanut,I'll wash the jug.
wipe surface,stir mixturepassata,I'm washing the surface.
pick-up chopstick,put-down dough,fetch chopsticks
put box,take sharpenerknife,fetch box.
press button,throw peelorange,I'll wash the utensils.
dry hand,put-down cloth,I'll wash the utensils.
rinse hand,remove-from top,wash
put box,take box,fetch box.
cut choipak,move choipak,I'll wash the chopsticks.
lather boardchopping,dry holderspoon,fetch ingredients
pick-up peellemon,pick-up squeezer,I'll wash the peellemon.
put-down tray,lay-onto paperbaking,fetch tray
put-in onionsliced,chop onion,I'll wash the onions.
take powderturmeric,put powderturmeric,I'll wash the powderturmeric.
spoon stock,pour stock,fetch stock.
chop mushroom,take mushroom,I'll wash the mushrooms.
move cloth,pick-up cloth,fetch cloth
open binfood,put-in skingarlic,fetch ingredients
inspect meat,put-in meat,wash meat.
open dressingsalad,pour dressingsalad,I'll wash the dressing salad.
pick-up onion,put-down onionchopped,wash onion
open cabinet,search-for cabinet,open cabinet
tear paper,dry hand,I'll wash the tear paper.
throw bitsalad,end_of_video,I'll wash the salad greens.
get leafsalad,wash leaf,wash the leaves.
rinse tupperware,wash tupperware,I'll wash the Tupperware.
put glass,put-into stock,I'll wash the glass.
close vinegar,put-down vinegar,I'll wash the vinegar bottle.
pick-up spatula,put-down spatula,fetch
empty glass,lather glass,fetch glass
pull doormicrowave,close doormicrowave,I'll wash the doormicrowave.
put-on onion,throw onion,I'll wash the onion.
open packetbroccoli,put-down broccoli,I'll wash the broccoli.
get meat,place-on meat,fetch meat
slice onion,drop onion,Wash onion.
chop onion,put-down spatula,Wash the onion.
take tupperware,open tupperware,I'll wash the tupperware.
open machinecoffee,rinse hand,I'll wash the coffee machine.
slice bottomcarrot,slice carrot,I'll wash the carrot.
pick-up bladefoodprocessorchopping,put bladechopping,I'll wash the chopping blade.
pour pasta,pick-up restpot,fetch pasta
pick-up oil,pour oil,fetch oil.
put-down cloth,pick-up grid,I'll wash the cloth.
pick-up toweltea,dry ramekin,fetch towel
put-down glass,pick-up spatula,I'll wash the glass.
pick-up sugar,pick-up jarsugar,fetch sugar
press garlic,pick-up cheeseparmesan,I'll wash the garlic.
put-down tupperware,take-out lidtupperware,I'll wash the Tupperware.
put-down capburner,pick-up capburner,I'll wash the capburner.
halve ginger,end_of_video,Wash ginger.
rubbish-in binrecycling,put-in rubbish,fetch
read instruction,pour-from mixture,I'll wash the utensils.
pick-up ramekinpeanut,put-down jugmeasuring,I'll wash the ramekin.
stir mixturepassata,take-from pepper,Wash the passata.
put-down dough,put-on chopstick,fetch dough
take sharpenerknife,take chicken,wash the knife.
throw peelorange,put orange,I'll wash the peel and orange.
put-down cloth,turn-on gas,I'll wash the cloth.
remove-from top,clean cafetiere,I'll wash the utensils.
take box,put box,fetch box.
move choipak,pick-up leafpakchoi,fetch the choipak.
dry holderspoon,put-down restspoon,I'll wash the dry holderspoon.
pick-up squeezer,open bincompost,I'll wash the squeezer.
lay-onto paperbaking,take scissors,I'll wash the baking sheet.
chop onion,take trayplastic,Wash the onion.
put powderturmeric,mix curry,I'll wash the powderturmeric.
pour stock,spoon stock,fetch stock.
take mushroom,chop mushroom,I'll wash the mushrooms.
pick-up cloth,wash shake,fetch cloth
put-in skingarlic,shake hand,I'll wash the skingarlic.
put-in meat,rinse meat,fetch meat
pour dressingsalad,end_of_video,fetch salad
put-down onionchopped,pick-up onionchopped,Wash the onion.
search-for cabinet,switch-off watertap,fetch cabinet
dry hand,put-down aubergine,I'll wash the utensils.
wash leaf,get leafsalad,I'll wash the leaf.
wash tupperware,rinse tupperware,fetch tupperware
put-into stock,put-inside glass,fetch
put-down vinegar,close cabinet,I'll wash the vinegar.
put-down spatula,pick-up bottleoil,I'm washing the spatula.
lather glass,put-down glass,I'll wash the glass.
close doormicrowave,read instruction,I'll wash the utensils.
throw onion,open bintrash,I'll wash the onion.
put-down broccoli,pick-up oilsesame,I'll wash the broccoli.
place-on meat,get meat,fetch meat
drop onion,remove skinonion,I'll wash the onion.
put-down spatula,chop onion,I'm washing the spatula.
open tupperware,put-down lidtupperware,I'll wash the tupperware.
rinse hand,remove stopper,wash
slice carrot,pick-up spatula,wash the carrot.
put bladechopping,put-inside biscuit,wash the knife.
pick-up restpot,put-down restpot,fetch
pour oil,stir salad,fetch oil.
pick-up grid,put-down grid,fetch
dry ramekin,put-down ramekin,I'll wash the ramekin.
pick-up spatula,stir courgette,fetch
pick-up jarsugar,put-down jarsugar,fetch jarsugar
pick-up cheeseparmesan,put-down cheeseparmesan,I'll wash the cheeseparmesan.
take-out lidtupperware,test water,fetch
pick-up capburner,wash capburner,I'll wash the capburner.
put-in rubbish,scrape-onto rubbish,fetch the rubbish
pour-from mixture,put-down teaspoon,I'll wash the pot.
put-down jugmeasuring,put-down ramekinpeanut,I'll wash the jug.
take-from pepper,hang-on mug,I'll wash the pepper.
put-on chopstick,fold-over dough,I'll wash the chopsticks.
take chicken,put sharpenerknife,Wash the chicken.
put orange,press-onto orange,I'll wash the orange.
turn-on gas,put-down cloth,"### input
### goal
### output
turn on gas."
clean cafetiere,tip-over cafetiere,fetch coffee beans
put box,put tin,fetch box.
pick-up leafpakchoi,put-down leafpakchoi,I'll wash the leafpakchoi.
put-down restspoon,pick-up grater,I'm washing the rest spoon.
open bincompost,throw peellemon,I'll wash the bincompost.
take scissors,put-into scissors,I'll wash the scissors.
take trayplastic,shovel-up onion,I'll wash the trayplastic.
mix curry,adjust gas,fetch spices.
spoon stock,pour stock,fetch stock.
chop mushroom,take mushroom,I'll wash the mushrooms.
wash shake,put-down cloth,fetch
shake hand,pick-up toweltea,I'll wash the chef's hands.
rinse meat,close drawerfreezer,fetch meat
pick-up onionchopped,put-down onionchopped,I'll wash the onion.
switch-off watertap,open cabinet,switch-off kettle.
put-down aubergine,put-down paper,I'll wash the aubergine.
get leafsalad,chop-off stem,wash the leaves.
rinse tupperware,put tupperware,I'll wash the Tupperware.
put-inside glass,close ventilator,I'll wash the glass.
close cabinet,pick-up cloth,I'm going to fetch the ingredients.
pick-up bottleoil,put-down cloth,fetch
put-down glass,rinse woolsteel,I'll wash the glass.
read instruction,pick-up gloverubber,I'll wash the utensils.
open bintrash,return scissors,fetch bintrash.
pick-up oilsesame,open oilsesame,I'll wash the oilsesame.
get meat,place-on meat,fetch meat
remove skinonion,throw skinonion,I'll wash the onion.
chop onion,search onion,Wash the onion.
put-down lidtupperware,pick-up cutlery,I'll wash the Tupperware.
remove stopper,replace stopper,I'll wash the utensil holder.
pick-up spatula,slice carrot,fetch
put-inside biscuit,pour-from biscuit,fetch biscuit
put-down restpot,pick-up package,fetch ingredients
stir salad,pick-up salt,Wash greens.
put-down grid,pick-up grid,I'll wash the dishes.
put-down ramekin,put-on toweltea,I'll wash the ramekin.
stir courgette,put-down spatula,I'll wash the courgette.
put-down jarsugar,end_of_video,fetch sugar
put-down cheeseparmesan,slide-into garlic,I'll wash the cheeseparmesan.
test water,pick-up ladle,I'll wash the water.
wash capburner,put-down capburner,fetch capburner
scrape-onto rubbish,scrape rubbish,fetch.
put-down teaspoon,pick-up spatula,I'll wash the teaspoon.
put-down ramekinpeanut,pick-up spatula,I'll wash the ramekin.
hang-on mug,move boardchopping,fetch water.
fold-over dough,pat dough,I'll wash the dough.
put sharpenerknife,take towelkitchen,I'll wash the knife.
press-onto orange,press button,I'll wash the orange.
put-down cloth,move rollpaper,I'll wash the cloth.
tip-over cafetiere,rinse cafetiere,fetch coffee beans
put tin,take box,I'll wash the tin.
put-down leafpakchoi,cut choipak,I'll wash the leafpakchoi.
pick-up grater,put-down grater,I'm washing the grater.
throw peellemon,put-down squeezer,I'll wash the peellemon.
put-into scissors,dry hand,I'll wash the scissors.
shovel-up onion,put-in onion,wash the onion.
adjust gas,take cloth,fetch gas
pour stock,spoon stock,fetch stock.
take mushroom,put piecemushroom,I'll wash the mushrooms.
put-down cloth,unplug plug,I'll wash the cloth.
pick-up toweltea,put-on toweltea,fetch towel
close drawerfreezer,put-in meat,open freezer
put-down onionchopped,stir-in onion,Wash the onion.
open cabinet,search cabinet,open cabinet
put-down paper,flip aubergine,I'll wash the paper.
chop-off stem,wash rubbish,I'll wash the vegetables.
put tupperware,pick-up tupperware,I'll wash the Tupperware.
close ventilator,pick-up kettle,I'll wash the ventilator.
pick-up cloth,turn cobcorn,fetch cloth
put-down cloth,put-down bottleoil,I'll wash the cloth.
rinse woolsteel,put-down woolsteel,fetch woolsteel
pick-up gloverubber,peel-with cheese,I'll wash the gloverubber.
return scissors,chop endonion,fetch scissors.
open oilsesame,smell oilsesame,I'll wash the oil.
place-on meat,get meat,fetch meat
throw skinonion,stir courgette,I'll wash the onion.
search onion,put-in onion,I'm washing the onion.
pick-up cutlery,end_of_video,fetch cutlery
replace stopper,remove stopper,I'll wash the stopper.
slice carrot,scrape-off carrot,wash the carrot.
pour-from biscuit,pick-up coverfoodprocessor,fetch
pick-up package,pick-up scissors,fetch package
pick-up salt,pour salt,fetch salt
pick-up grid,put-down grid,fetch
put-on toweltea,press button,I'll wash the towel.
put-down spatula,pick-up glass,I'm washing the spatula.
slide-into garlic,pour-from pasta,I'll wash the garlic.
pick-up ladle,wash ladle,I'm washing the ladle.
put-down capburner,pick-up capburner,I'll wash the capburner.
scrape rubbish,pick-up onion,wash
pick-up spatula,put-down ramekin,fetch
pick-up spatula,flip-over piecetofu,fetch
move boardchopping,chop-off pepper,fetch ingredients.
pat dough,pick-up dough,I'll wash the dough.
take towelkitchen,take boardcutting,fetch towels.
press button,squeeze orange,I'll wash the utensils.
move rollpaper,stir courgette,fetch rollpaper
rinse cafetiere,tip cafetiere,fetch coffee beans.
take box,put box,fetch box.
cut choipak,move choipak,I'll wash the chopsticks.
put-down grater,put-down boardchopping,I'll wash the grater.
put-down squeezer,pick-up squeezer,I'll wash the utensils.
