current_action,predicted_action,Llama-3.2_model_reply
tap spatula,put-down spatula,I will wash the spatula.
open bottlesauce,put openerbottle,I will wash the opener bottle.
clean topstove,spray detergent,"### action: spray detergent
### action list: clean, wash, dry, cut, slice, mix, pour, fetch, stabilize, bring"
put-in spoonwooden,pick-up blender,I'll wash the spoonwooden.
stir starter,pick-up tub,I'll wash the stir starter pan.
roll dough,squeeze dough,I'll wash the dough.
take olive,eat olive,fetch olive
shred thighchicken,put-in thighchicken,I'll wash the chicken.
put-in waste,cut garlic,I'll wash the garlic.
read geographicnational,read national,"### action: read national
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
put-on mug,pick-up broccolitenderstem,I'll wash the broccolitenderstem.
clean filtersink,put filtersink,I will wash the filtersink.
take spatula,pour-onto rice,I'm washing the spatula.
look-inside oven,close dooroven,### action: close oven door
open bag,pour content,I will wash the contents.
put-down bag,pick-up tray,I'll wash the tray.
wipe-into flour,close binfood,"### action: close food
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
pour salad,close dressingsalad,I will wash the dressing salad.
pick-up spatula,pick-up meat,"### action: wash

### next action: bring"
wash hand,stir-in onion,"### action: wash hand
### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
remove skingarlic,put-into garlic,I will wash the skingarlic.
put-down aubergine,pick-up aubergine,I'll wash the aubergine.
get spoonfulyoghurt,get mug,I'll wash the spoon.
cut leafspringonion,cut skinspringonion,I will wash the spring onions.
pour-on vinegar,pour-on oilolive,I will wash the utensils.
zero scale,pick-up butter,fetch butter
open oven,put tray,I will put tray in oven.
stir onion,fill kettle,I'll wash the kettle.
open moka,rinse hand,I'll wash my hands.
pick-up leaf,slice lettuce,I'll wash the lettuce.
close binfood,rinse hand,I'll wash the chef's hands.
rinse cloth,wring cloth,I'll wring the cloth.
pick-up sachetbakingpowder,pick-up scissors,fetch sachetbakingpowder
pick-up toweltea,read instruction,fetch instruction.
turn slicepepper,chop slicepepper,I will wash the slicepepper.
dry hand,pick-up saucepan,I will wash the saucepan.
set-off timer,pick-up broccoli,fetch broccoli.
tear pork,eat pork,I'll wash the pork.
get meat,place-on meat,Place meat on counter.
peel peach,put-down peach,I'll put the peach down.
pick-up spoonwooden,end_of_video,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
rinse hand,rinse blockchopping,wash the blockchopping utensil.
peel garlic,put-down garlic,I will wash the garlic.
pick-up raisin,put-down rice,I will wash the raisins.
pick-up mug,wash mug,I will wash the mug.
pick-up bunbao,put-on bun,I'll wash the bunbao.
close cantrash,place paper,I will wash the dishes.
put-down base,pick-up rollkitchen,I will wash the base.
pick-up spoonwooden,mix biscuit,I'm washing the spoonwooden.
drain pasta,pick-up colander,I'll drain the pasta.
shake hand,pick-up cloth,I'll wash the cloth.
put-down bread,put-down cloth,I'll wash the bread.
rinse hand,wash colander,fetch colander
feel temperaturemilk,turn-over instruction,"### action: wash

### next action: stir"
put-down cloth,pick-up peeler,I'll wash the put-down cloth.
tear foilaluminium,tear paper,I will wash the foil and aluminium.
put bladechopping,remove-from apron,I'll remove the chef's bladechopping from the apron.
slice cheese,move-to slicecheese,fetch cheese
move potmoka,pick-up coffee,I'll wash the potmoka.
pick-up capburner,spray cleaner,I'll wash the capburner.
soap spoonwooden,rinse spoonwooden,I'll wash the spoonwooden.
throw rubbish,pick-up rubbish,fetch the rubbish.
put pattytuna,pick-up bagsandwich,I'll wash the pattytuna.
put-down sweetcorn,spoon pesto,I'll wash the sweetcorn.
cut potatosweet,put-in potatosweet,I'll wash the potatoes.
scoop-up food,put-down rollpaper,I will wash the rollpaper.
rinse cloth,clean topcounter,I'll wash the topcounter.
pick-up tablespoon,put-in tablespoon,put-in tablespoon.
move-with piecetofu,move mug,I'll wash the mug.
pick-up top,pick-up spatula,I'm washing the top.
take boxscotchegg,open boxscotchegg,I will wash the boxscotchegg.
put-on toweltea,pick-up slicebread,I'll wash the towel.
dip finger,rub-on oil,I will wash the utensil.
slice chicken,end_of_video,I cannot provide information on how to make the chef pour end of video. Can I help you with something else?
close bingarbage,pick-up degreaser,I'll wash the degreaser.
take salmon,put food,I'll wash the salmon.
put gloveoven,put spatula,I'll put the spatula on the counter.
collect waste,put-in waste,put-in waste.
put ladder,move bottleoil,I'll wash the bottle.
fill kettle,empty kettle,fetch kettle
open bag,measure breadcrumb,I'll wash the bag.
pick-up lidpan,pick-up teapot,I'm washing the teapot.
rinse tin,put-in tin,put-in tin.
put-down spatula,pick-up leafpakchoi,I'll wash the spatula.
put openerbottle,pick-up boardchopping,I'll wash the opener bottle.
spray detergent,clean topstove,I will wash the topstove.
pick-up blender,rinse blender,I will wash the blender.
pick-up tub,put-under tub,I will put the tub under the sink.
squeeze dough,open oven,"### action: open oven
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
eat olive,take olive,I'll wash the olive.
put-in thighchicken,shred thighchicken,I'll wash the chicken.
cut garlic,take cloth,I'll wash the cloth.
read national,put-down geographicnational,I will wash the utensils.
pick-up broccolitenderstem,put broccolitenderstem,I'll wash the broccolitenderstem.
put filtersink,take residuefood,I'll wash the filtersink.
pour-onto rice,scoop rice,I will wash the rice.
close dooroven,tilt saucepan,I will wash the saucepan.
pour content,shake bag,I'll wash the ingredients.
pick-up tray,turn-on phone,I'll wash the tray.
close binfood,open dishwasher,I will wash the dishes.
close dressingsalad,put-down dressingsalad,I will wash the dressingsalad.
pick-up meat,put-down meat,put-down meat
stir-in onion,stir meatminced,I'll wash the meatminced.
put-into garlic,remove skingarlic,I'll wash the garlic.
pick-up aubergine,lay aubergine,I will wash the aubergine.
get mug,get cherry,fetch cherry
cut skinspringonion,take onionspring,I'll wash the onionspringonion.
pour-on oilolive,pour salt,"### action: wash

### next action: pour oilolive

### next action: pour salt"
pick-up butter,open drawervegetable,I will wash the drawervegetable.
put tray,close oven,I will wash the tray.
fill kettle,stir onion,wash kettle
rinse hand,dry hand,wash
slice lettuce,cut lettuce,I will wash the lettuce.
rinse hand,shake hand,I'll wash the chef's hands.
wring cloth,open cabinet,"### action: open cabinet
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
pick-up scissors,cut sachetopen,I'll wash the scissors.
read instruction,put-on toweltea,I'll put on a towel.
chop slicepepper,pick-up mouldcake,I'll wash the mouldcake.
pick-up saucepan,put-down saucepan,I will put the saucepan down.
pick-up broccoli,move-from boardchopping,I'll wash the broccoli.
eat pork,touch broccoli,I'll wash the broccoli.
place-on meat,move dough,I'll wash the meat.
put-down peach,put-down peeler,I'll wash the peeler.
rinse blockchopping,put blockchopping,put blockchopping in the sink.
put-down garlic,peel garlic,I will wash the garlic.
put-down rice,pick-up oil,I'll wash the pot.
wash mug,rinse mug,I will wash the mug.
put-on bun,move tupperware,I'll put the bun on the bun.
place paper,put-down scissors,I'll put-down the scissors.
pick-up rollkitchen,put-down rollkitchen,I will put-down the rollkitchen.
mix biscuit,leave spoonwooden,I'll wash the spoonwooden.
pick-up colander,pour pasta,"### action: wash colander
### next action: rinse colander
### action: dry colander
### next action: cut pasta"
pick-up cloth,dry hand,I'll wash the cloth.
put-down cloth,pick-up egg,I'll wash the egg.
wash colander,put-down colander,put-down colander
turn-over instruction,drag-through spatula,"### action: wash

### next action: dry"
pick-up peeler,rinse peeler,I'll wash the peeler.
tear paper,pick-up sandwich,I'll wash the tear paper.
remove-from apron,throw-on apron,I will wash the apron.
move-to slicecheese,slice cheese,fetch cheese
pick-up coffee,put coffee,I'll wash the coffee.
spray cleaner,put-down capburner,I will wash the capburner.
rinse spoonwooden,put-down spoonwooden,I will wash the spoonwooden.
pick-up rubbish,throw rubbish,I will wash the rubbish.
pick-up bagsandwich,put-away patty,I will wash the patty.
spoon pesto,end_of_video,"### action: wash

### output: wash the spoon"
put-in potatosweet,chop potatosweet,I'll wash the potatoes.
put-down rollpaper,pick-up grater,I'll wash the rollpaper.
clean topcounter,rinse cloth,I will wash the cloth.
put-in tablespoon,pick-up teaspoon,I will wash the spoon.
move mug,pick-up piecetofu,I'm washing the mug.
pick-up spatula,check tag,I'm washing the spatula.
open boxscotchegg,open bottlepassata,I will wash the egg.
pick-up slicebread,put-on slicebread,I will wash the slicebread.
rub-on oil,pick-up chopstick,I'll wash the chopstick.
pick-up degreaser,pick-up glass,I'm washing the glass.
put food,stir food,I'll wash the food.
put spatula,take lidpot,I'm washing the pot.
put-in waste,take fingerlady,fetch fingerlady
move bottleoil,pick-up covertin,I will wash the bottle oil.
empty kettle,place carafe,Place kettle on stovetop.
measure breadcrumb,put bag,I'll wash the bag.
pick-up teapot,put-down teapot,I will put the teapot down.
put-in tin,stir food,I'll wash the tin.
pick-up leafpakchoi,wash leafpakchoi,I'll wash the leafpakchoi.
pick-up boardchopping,pick-up onion,I'm washing the onion.
clean topstove,spray detergent,"### action: spray detergent
### action list: clean, wash, dry, cut, slice, mix, pour, fetch, stabilize, bring"
rinse blender,pick-up liquidwashing,fetch liquid
put-under tub,stir starter,I'll wash the utensils.
open oven,take flour,I'll wash the flour.
take olive,take cupmeasuring,I'll wash the olive.
shred thighchicken,put-in thighchicken,I'll wash the chicken.
take cloth,adjust gas,I'll wash the cloth.
put-down geographicnational,stir stock,I'll wash the pot.
put broccolitenderstem,pick-up broccolitenderstem,I'll wash the broccolitenderstem stem.
take residuefood,take filtersink,I'll wash the residue food.
scoop rice,pour-into rice,I'll wash the rice.
tilt saucepan,scrape-off egg,"### action: scrape-off egg
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
shake bag,put-down bag,I will wash the bag.
turn-on phone,pick-up grape,I'll wash the grape.
open dishwasher,move dishoven,"### action list: move dishoven

### response
fetch"
put-down dressingsalad,pick-up piecesalad,I will wash the salad greens.
put-down meat,rinse meat,I'll wash the meat.
stir meatminced,pick-up containerpepper,I'll wash the container.
remove skingarlic,put-into garlic,I will wash the skingarlic.
lay aubergine,pick-up courgette,I'll wash the courgette.
get cherry,wipe-off hand,I will wash the chef's hand.
take onionspring,wash onionspring,I'll wash the onionspring.
pour salt,mix salad,fetch the ingredients
open drawervegetable,take knifeparing,I'll wash the vegetables.
close oven,set timer,"### action: set timer
### next action: check oven temperature"
stir onion,pick meat,I'll wash the meat.
dry hand,put-down cloth,I'll put down the cloth.
cut lettuce,pick-up leaf,I'll wash the lettuce.
shake hand,pick-up cloth,I'll wash the cloth.
open cabinet,pick-up detergent,open cabinet.
cut sachetopen,put-down scissors,I will wash the cut sachet.
put-on toweltea,pick-up thermometer,I'll wash the towel.
pick-up mouldcake,whisk egg,"### action: wash

### next action: whisk egg"
put-down saucepan,pick glass,I'll wash the saucepan.
move-from boardchopping,pour-from water,I'll wash the board.
touch broccoli,hold carrot,I will wash the broccoli.
move dough,get meat,fetch meat
put-down peeler,gather skin,I'll wash the peeler.
put blockchopping,take-out oilolive,I'm washing the blockchopping knife.
peel garlic,put-down garlic,I will wash the garlic.
pick-up oil,pick-up pepper,fetch oil.
rinse mug,turn-on kettle,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
move tupperware,take tupperware,I'll wash the tupperware.
put-down scissors,wash hand,I'll wash my hands.
put-down rollkitchen,pick-up onion,I'll wash the onion.
leave spoonwooden,remove-from tray,I'll wash the spoonwooden.
pour pasta,put-down colander,I'll put the colander down.
dry hand,put-down cloth,I'll put down the cloth.
pick-up egg,crack egg,"### action: crack egg
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
put-down colander,pick-up food,I'll wash the colander.
drag-through spatula,put-down spatula,I will wash the spatula.
rinse peeler,put-down peeler,put-down peeler
pick-up sandwich,wrap sandwich,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring"
throw-on apron,open ladder,"### action: wash
### action list: clean, rinse, dry, sanitize, clean, clean, clean, clean, clean"
